"Είδος.Τεκμηρίου"	"Θεματική"	"Διάλεκτος"	"Κοινωνιόλεκτος"	"Jargon"	"Ύφος"	"Ποικιλία"	"Ιστορική.Περίοδος"	"class"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"fragmentum"	"ημερολόγιο"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"	3	0.293665934622901	-0.913695037439768	2.73202573375241	0.26796331088102	3.61376690585047	11.8315128173272	1.08695157433168	15.1565776599787	-16.6024687123427	2.33090505185216	8.45294118503459	-11.7911220022521	-68.5463298971767	-43.9139242373175	14.2046538316814	118.060885873761	74.1526269520607	130.020257178697	-241.04834161246	7.62975553932493	158.873928144451	337.763765948731	2778.79328621006	16534.3404918641	232194.004144734	-1968955.82943891	1619674.00314927
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"	3	0.197166844518453	-0.552696130786404	1.24262125100069	0.113723475778469	1.35413770781494	4.01229456165079	0.375896705857331	4.21633045224768	-4.14467739635268	0.501333150175614	1.92619965582311	-1.79013335058737	-8.4659332922767	-5.1654365706137	3.8178230178155	8.85646260532081	8.96997650725348	6.69942738038907	-303.943176711161	37.1316556496377	34.5522720567054	2.98121272749956	52.4931093153413	-90.9462210892167	2.17939558894614	-2.69855264394712	66.912704451427
"χωρίο"	"πεζογραφία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"	2	0.233251245916961	1.26819631861676	1.62141159413224	-0.540920743747293	-0.728973908881426	-0.973451296557572	-6.76593165261677	-0.847444936365153	-7.24607251202639	6.2202979452725	-28.9854983621019	5.73898266192514	34.4022565150214	39.7892181325124	-107.585625402265	-88.1504379584355	-120.530985333668	33.5951086586515	-448.500765609086	39.7561736083061	829.396782065224	-3581.3525056374	-12208.9788424583	3587.60297096253	-130561.259982905	-663062.485564126	1952398.48276328
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"	2	0.121631665163203	1.33982047968994	0.474245789824446	-0.577492010396903	-0.571225439334085	-0.808524140236684	-2.69798440981166	-2.29695573514156	-0.733330045305164	2.79563825865737	-12.4680412777742	0.183231780943058	7.53151513473682	8.82218106235776	-44.1143933505187	-18.9710927990659	-41.8946223355805	18.1515460341389	-312.605994011898	24.9834156109351	38.0107368472229	4.30704539064156	9.25409489143819	-102.40185252359	-56.5012021818065	19.6940629913117	113.659477749129
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"	3	0.293761642335777	-0.737033127542881	1.59766980068855	0.28510708810541	-0.0904895341814073	-0.0340132310207826	-1.93857760354076	3.81522078840407	-5.05478670843747	1.46391416832514	-2.24519861492276	0.819877494723258	0.200387815516256	0.084311221705729	9.1621821536137	3.70688954232787	17.8754477568905	8.56908127048226	-304.210408445523	41.445200376506	41.8192469819943	9.51598709250081	60.3856490214501	-98.9970131977524	-5.19110726609366	0.192942432651923	77.2931487451913
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"	2	0.291871120894016	-0.143240594193922	3.52650691273931	0.783728497212772	-1.18539776179989	-4.12936383339953	-7.59285194767919	4.23602686327955	-5.41410935251669	9.13268951972429	-16.3893114240034	-2.68018389861908	-17.5451000666769	-0.487474495272772	-40.9169253628795	-17.4976887378691	-11.9501993626499	-35.5449701111861	-365.9816400985	17.4591220471918	106.740734763263	228.820425708606	681.461635696982	-532.040786063653	-5466.88486241183	118257.275857158	-161637.755869753
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"	3	0.197166844518453	-0.552696130786404	1.24262125100069	0.113723475778469	1.35413770781494	4.01229456165079	0.375896705857331	4.21633045224768	-4.14467739635268	0.501333150175614	1.92619965582311	-1.79013335058737	-8.4659332922767	-5.1654365706137	3.8178230178155	8.85646260532081	8.96997650725348	6.69942738038907	-303.943176711161	37.1316556496377	34.5522720567054	2.98121272749956	52.4931093153413	-90.9462210892167	2.17939558894614	-2.69855264394712	66.912704451427
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"	3	0.197166844518453	-0.552696130786404	1.24262125100069	0.113723475778469	1.35413770781494	4.01229456165079	0.375896705857331	4.21633045224768	-4.14467739635268	0.501333150175614	1.92619965582311	-1.79013335058737	-8.4659332922767	-5.1654365706137	3.8178230178155	8.85646260532081	8.96997650725348	6.69942738038907	-303.943176711161	37.1316556496377	34.5522720567054	2.98121272749956	52.4931093153413	-90.9462210892167	2.17939558894614	-2.69855264394712	66.912704451427
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"	3	0.343626466360695	-1.01494300272871	2.54165340101963	0.743568620286533	-0.669162911277149	-2.3075251779205	-5.5312926534144	6.34117441443047	-8.27228989450938	5.67811175092575	-8.61108729651431	-1.40759217241515	-17.0744338952156	-9.41446616672406	2.16682503654775	2.12439985747143	41.8313401196505	-11.068893346812	-358.986534226683	9.41014005309547	137.601575453804	227.087870727942	710.729403324905	-534.474728127426	-5414.99186242444	118269.03022349	-161686.81012625
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"κνε"	"νε"	3	0.651884572806711	-2.27640330731765	-0.972567672329794	0.397201982657279	-2.07641245203746	-5.79649405133464	-7.29028355861672	-1.24057976070072	2.32502468508823	4.99720267220203	-5.01048877336048	-2.16161844906283	-13.4643865493868	-7.25136908585852	-1.59395883890153	8.27981552355012	24.714907627686	-18.6136260070635	-359.628498977855	10.2928772159971	131.215995873411	214.174990281626	700.853189769617	-532.524002892778	-5420.67858934503	118297.661133027	-161719.82906024
