paragraphs,type,source_file
"## ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ ΙΝΣΤΙΤΟΥΤΟ ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣΚωνσταντίνος Αμπελιώτης ΚωνσταντίνοςΜαρία Γιαννακούλια Ευαγγελία Κροκίδη Σοφία Προβατάρη Άννα ΣαΐτηΜαρία Γιαννακούλια Ευαγγελία Κροκίδη Σοφία Προβατάρη Άννα Σαΐτη Αποστολόπουλος Ευαγγελία Γεωργιτσογιάννη",,paper_152.md
## Α' & Β' ΓΥΜΝΑΣΙΟΥ,,paper_152.md
## Oικιακή Οικονομία,,paper_152.md
## Οικιακή Οικονομία,,paper_152.md
Α' & Β' ΓΥΜΝΑΣΙΟΥ,,paper_152.md
Πράξη με τίτλο:,,paper_152.md
ΣυγγραφειΣ:,,paper_152.md
ΚριΤεΣ-αΞιΟΛΟγΗΤεΣ:,,paper_152.md
"ειΚΟΝΟγραφΗΣΗ:Τριάς γανώση, Σκιτσογράφος-Εικονογράφος",,paper_152.md
φιΛΟΛΟγιΚΗ εΠιΜεΛεια:,,paper_152.md
"Σοφία Στέρπη, ΦιλόλογοςυΠευΘυΝΟΣ ΤΟυ ΜαΘΗΜαΤΟΣ ΚαΤα ΤΗ ΣυγγραφΗ:",,paper_152.md
"υΠευΘυΝΟΣ ΤΟυ υΠΟεργΟυ:ιωάννης Βουτυράκης, Οικιακής Οικονομίας, Εκπαιδευτικός Β/θμιας Εκπαίδευσης",,paper_152.md
εΞΩφυΛΛΟ:,,paper_152.md
"Ναυσικά Πάστρα, Γλύπτρια",,paper_152.md
